SourceTitle#ERulesId#Domain#EntryIntoForceDate#RegulatorySource#Paragraph#
GM1 ADR.OR.B.015 Application for a certificate#ERULES-1963177438-2633#Aerodromes;#6 March, 2014#ED Decision 2014/012/R#INITIAL INTEREST#
GM1 ADR.OR.B.015 Application for a certificate#ERULES-1963177438-2633#Aerodromes;#6 March, 2014#ED Decision 2014/012/R#Prior to submitting an application for a certificate to the Competent Authority, an applicant should arrange for a meeting with the Competent Authority.#
GM1 ADR.OR.B.015 Application for a certificate#ERULES-1963177438-2633#Aerodromes;#6 March, 2014#ED Decision 2014/012/R#The applicant should also make arrangements for its key personnel to be present during this meeting.#
GM1 ADR.OR.B.015 Application for a certificate#ERULES-1963177438-2633#Aerodromes;#6 March, 2014#ED Decision 2014/012/R#During this meeting, the applicant should present to the authority its plans with regard to the aerodrome.#
GM1 ADR.OR.B.015 Application for a certificate#ERULES-1963177438-2633#Aerodromes;#6 March, 2014#ED Decision 2014/012/R#During the meeting, the applicant may be:#
GM1 ADR.OR.B.015 Application for a certificate#ERULES-1963177438-2633#Aerodromes;#6 March, 2014#ED Decision 2014/012/R#(a)provided by the Competent Authority with general information about the applicable requirements for the aerodrome;#
GM1 ADR.OR.B.015 Application for a certificate#ERULES-1963177438-2633#Aerodromes;#6 March, 2014#ED Decision 2014/012/R#(b)provided with copies of the applicable requirements, and a description of the procedures that are followed during the certification process; and#
GM1 ADR.OR.B.015 Application for a certificate#ERULES-1963177438-2633#Aerodromes;#6 March, 2014#ED Decision 2014/012/R#(c)informed by the Competent Authority about possible approvals, permits, or clearances that may be needed to be obtained from other competent authorities of the Member State.#
AMC1 ADR.OR.B.015(a) Application for a certificate#ERULES-1963177438-2624#Aerodromes;#6 March, 2014#ED Decision 2014/012/R#AMC1 ADR.OR.B.015(a) Application for a certificate#
AMC1 ADR.OR.B.015(a) Application for a certificate#ERULES-1963177438-2624#Aerodromes;#6 March, 2014#ED Decision 2014/012/R#ED Decision 2014/012/R#
AMC1 ADR.OR.B.015(a) Application for a certificate#ERULES-1963177438-2624#Aerodromes;#6 March, 2014#ED Decision 2014/012/R#APPLICATION#
AMC1 ADR.OR.B.015(a) Application for a certificate#ERULES-1963177438-2624#Aerodromes;#6 March, 2014#ED Decision 2014/012/R#The application should be made in writing, and be signed by the applicant, using a standardised form established by the Competent Authority.#
AMC1 ADR.OR.B.015(b)(1);(2);(3);(4) Application for a certificate#ERULES-1963177438-2625#Aerodromes;#6 March, 2014#ED Decision 2014/012/R#AMC1 ADR.OR.B.015(b)(1);(2);(3);(4) Application for a certificate#
AMC1 ADR.OR.B.015(b)(1);(2);(3);(4) Application for a certificate#ERULES-1963177438-2625#Aerodromes;#6 March, 2014#ED Decision 2014/012/R#ED Decision 2014/012/R#
AMC1 ADR.OR.B.015(b)(1);(2);(3);(4) Application for a certificate#ERULES-1963177438-2625#Aerodromes;#6 March, 2014#ED Decision 2014/012/R#INFORMATION TO BE PROVIDED TO THE COMPETENT AUTHORITY#
AMC1 ADR.OR.B.015(b)(1);(2);(3);(4) Application for a certificate#ERULES-1963177438-2625#Aerodromes;#6 March, 2014#ED Decision 2014/012/R#(a)The applicant should:#
AMC1 ADR.OR.B.015(b)(1);(2);(3);(4) Application for a certificate#ERULES-1963177438-2625#Aerodromes;#6 March, 2014#ED Decision 2014/012/R#(1)provide its telephone, and fax number, and e-mail address for communication with the Competent Authority;#
AMC1 ADR.OR.B.015(b)(1);(2);(3);(4) Application for a certificate#ERULES-1963177438-2625#Aerodromes;#6 March, 2014#ED Decision 2014/012/R#(2)indicate the names of its employees whom the Competent Authority would contact in order to address any issues that might arise during the evaluation of the application, and the certification process.#
AMC1 ADR.OR.B.015(b)(1);(2);(3);(4) Application for a certificate#ERULES-1963177438-2625#Aerodromes;#6 March, 2014#ED Decision 2014/012/R#(b)The applicant should provide the Competent Authority with the following:#
AMC1 ADR.OR.B.015(b)(1);(2);(3);(4) Application for a certificate#ERULES-1963177438-2625#Aerodromes;#6 March, 2014#ED Decision 2014/012/R#(1)information about the location of the aerodrome: the exact location of the aerodrome should be depicted on a map of a suitable scale acceptable to the Competent Authority;#
AMC1 ADR.OR.B.015(b)(1);(2);(3);(4) Application for a certificate#ERULES-1963177438-2625#Aerodromes;#6 March, 2014#ED Decision 2014/012/R#(2)information about the type of operations at the aerodrome, including:#
AMC1 ADR.OR.B.015(b)(1);(2);(3);(4) Application for a certificate#ERULES-1963177438-2625#Aerodromes;#6 March, 2014#ED Decision 2014/012/R#(i)operations during the day and/or night, and type of approaches;#
AMC1 ADR.OR.B.015(b)(1);(2);(3);(4) Application for a certificate#ERULES-1963177438-2625#Aerodromes;#6 March, 2014#ED Decision 2014/012/R#(ii)landing, and/or take-off operations on each runway;#
AMC1 ADR.OR.B.015(b)(1);(2);(3);(4) Application for a certificate#ERULES-1963177438-2625#Aerodromes;#6 March, 2014#ED Decision 2014/012/R#(iii)the aircraft types to be served at the aerodrome, and the aircraft type to be used for the design of the aerodrome; and#
AMC1 ADR.OR.B.015(b)(1);(2);(3);(4) Application for a certificate#ERULES-1963177438-2625#Aerodromes;#6 March, 2014#ED Decision 2014/012/R#(iv)any limitations to the operation of the aerodrome.#
AMC1 ADR.OR.B.015(b)(1);(2);(3);(4) Application for a certificate#ERULES-1963177438-2625#Aerodromes;#6 March, 2014#ED Decision 2014/012/R#(3)the drawing(s) showing the design of the aerodrome, which should:#
AMC1 ADR.OR.B.015(b)(1);(2);(3);(4) Application for a certificate#ERULES-1963177438-2625#Aerodromes;#6 March, 2014#ED Decision 2014/012/R#(i)be in a suitable scale, acceptable to the Competent Authority;#
AMC1 ADR.OR.B.015(b)(1);(2);(3);(4) Application for a certificate#ERULES-1963177438-2625#Aerodromes;#6 March, 2014#ED Decision 2014/012/R#(ii)be in an electronic format if this is acceptable to the Competent Authority.#
AMC1 ADR.OR.B.015(b)(1);(2);(3);(4) Application for a certificate#ERULES-1963177438-2625#Aerodromes;#6 March, 2014#ED Decision 2014/012/R#(iii)contain all the necessary information, including:#
AMC1 ADR.OR.B.015(b)(1);(2);(3);(4) Application for a certificate#ERULES-1963177438-2625#Aerodromes;#6 March, 2014#ED Decision 2014/012/R#(A)runway(s) orientation;#
AMC1 ADR.OR.B.015(b)(1);(2);(3);(4) Application for a certificate#ERULES-1963177438-2625#Aerodromes;#6 March, 2014#ED Decision 2014/012/R#(B)the dimensions of the aerodrome’s physical characteristics;#
AMC1 ADR.OR.B.015(b)(1);(2);(3);(4) Application for a certificate#ERULES-1963177438-2625#Aerodromes;#6 March, 2014#ED Decision 2014/012/R#(C)the visual and non-visual aids;#
AMC1 ADR.OR.B.015(b)(1);(2);(3);(4) Application for a certificate#ERULES-1963177438-2625#Aerodromes;#6 March, 2014#ED Decision 2014/012/R#(D)the obstacle limitation surfaces, and any other surfaces applicable; and#
AMC1 ADR.OR.B.015(b)(1);(2);(3);(4) Application for a certificate#ERULES-1963177438-2625#Aerodromes;#6 March, 2014#ED Decision 2014/012/R#(E)the aerodrome facilities, installations, and fixed equipment and their location.#
AMC1 ADR.OR.B.015(b)(1);(2);(3);(4) Application for a certificate#ERULES-1963177438-2625#Aerodromes;#6 March, 2014#ED Decision 2014/012/R#(4)description, height, and location of obstacles, in accordance with the applicable aeronautical data requirements (see ADR.OPS.A.005 and AMC1 ADR.OPS.A.005).#
AMC1 ADR.OR.B.015(b)(1);(2);(3);(4) Application for a certificate#ERULES-1963177438-2625#Aerodromes;#6 March, 2014#ED Decision 2014/012/R#(c)The applicant should identify the applicable certification specifications for the design and type of operations of the proposed aerodrome and provide the Competent Authority with evidence that the proposed design and operation complies with them. If relevant, the applicant should also provide the Competent Authority with:#
AMC1 ADR.OR.B.015(b)(1);(2);(3);(4) Application for a certificate#ERULES-1963177438-2625#Aerodromes;#6 March, 2014#ED Decision 2014/012/R#(1)the certification specifications for which it proposes to show compliance in a different manner and demonstrate an equivalent level of safety. Such a proposal has to be acceptable to the Competent Authority. In such cases, the applicant should also propose the method that will be used to demonstrate compliance and achieve an equivalent level of safety, and submit all necessary documentation to support the proposal;#
AMC1 ADR.OR.B.015(b)(1);(2);(3);(4) Application for a certificate#ERULES-1963177438-2625#Aerodromes;#6 March, 2014#ED Decision 2014/012/R#(2)any other proposal for which the applicant assumes that the certification specifications issued by the Agency are inadequate or inappropriate.#
AMC1 ADR.OR.B.015(b)(1);(2);(3);(4) Application for a certificate#ERULES-1963177438-2625#Aerodromes;#6 March, 2014#ED Decision 2014/012/R#(d)The applicant should provide the Competent Authority documentation to demonstrate how it will comply with the applicable requirements of the Basic Regulation, Part-ADR.OR, and Part-ADR.OPS, and any other applicable requirements that are matching the aerodrome design and its operation.#
GM1 ADR.OR.B.015(b)(2) Application for a certificate#ERULES-1963177438-2634#Aerodromes;#6 March, 2014#ED Decision 2014/012/R#GM1 ADR.OR.B.015(b)(2) Application for a certificate#
GM1 ADR.OR.B.015(b)(2) Application for a certificate#ERULES-1963177438-2634#Aerodromes;#6 March, 2014#ED Decision 2014/012/R#ED Decision 2014/012/R#
GM1 ADR.OR.B.015(b)(2) Application for a certificate#ERULES-1963177438-2634#Aerodromes;#6 March, 2014#ED Decision 2014/012/R#AERODROME BOUNDARIES#
GM1 ADR.OR.B.015(b)(2) Application for a certificate#ERULES-1963177438-2634#Aerodromes;#6 March, 2014#ED Decision 2014/012/R#The map submitted with the application should indicate the boundary of the aerodrome area. It should include, at least, runways, taxiways, aprons, associated strips, runway end safety areas, stopways, clearways, aerodrome visual aids, fixed aerodrome equipment, other aerodrome operational areas, areas adjacent to the movement area, etc, while maintenance areas may be excluded if acceptable to the Competent Authority.#
GM1 ADR.OR.B.015(b)(2) Application for a certificate#ERULES-1963177438-2634#Aerodromes;#6 March, 2014#ED Decision 2014/012/R#The above aerodrome boundary should not be confused with the boundaries established for other purposes, such as fences, the land ownership boundaries used by local planning authorities, or those used to designate security restricted zones.#
GM1 ADR.OR.B.015(b)(2)(3)(4) Application for a certificate#ERULES-1963177438-2626#Aerodromes;#6 March, 2014#ED Decision 2014/012/R#GM1 ADR.OR.B.015(b)(2)(3)(4) Application for a certificate#
GM1 ADR.OR.B.015(b)(2)(3)(4) Application for a certificate#ERULES-1963177438-2626#Aerodromes;#6 March, 2014#ED Decision 2014/012/R#ED Decision 2014/012/R#
GM1 ADR.OR.B.015(b)(2)(3)(4) Application for a certificate#ERULES-1963177438-2626#Aerodromes;#6 March, 2014#ED Decision 2014/012/R#METEOROLOGICAL CONDITIONS#
GM1 ADR.OR.B.015(b)(2)(3)(4) Application for a certificate#ERULES-1963177438-2626#Aerodromes;#6 March, 2014#ED Decision 2014/012/R#The applicant should provide the Competent Authority with a meteorological study of the area of the aerodrome, including temperature, visibility, ceiling and wind conditions; moreover, the study should provide information on wind conditions occurring with poor visibility and/or low cloud base at the aerodrome, and their frequency, as well as the accompanying wind direction and speed.#
AMC1 ADR.OR.B.015(b)(4) Application for a certificate#ERULES-1963177438-2627#Aerodromes;#6 March, 2014#ED Decision 2014/012/R#AMC1 ADR.OR.B.015(b)(4) Application for a certificate#
AMC1 ADR.OR.B.015(b)(4) Application for a certificate#ERULES-1963177438-2627#Aerodromes;#6 March, 2014#ED Decision 2014/012/R#ED Decision 2014/012/R#
AMC1 ADR.OR.B.015(b)(4) Application for a certificate#ERULES-1963177438-2627#Aerodromes;#6 March, 2014#ED Decision 2014/012/R#EVIDENCE OF ARRANGEMENTS WITH THIRD PARTIES#
AMC1 ADR.OR.B.015(b)(4) Application for a certificate#ERULES-1963177438-2627#Aerodromes;#6 March, 2014#ED Decision 2014/012/R#The applicant should provide all necessary evidence for arrangements with third parties that provide, or intend to provide services, or undertake activities at the aerodrome, whose activities may have an impact on safety.#
AMC1 ADR.OR.B.015(b)(5) Application for a certificate#ERULES-1963177438-2628#Aerodromes;#6 March, 2014#ED Decision 2014/012/R#AMC1 ADR.OR.B.015(b)(5) Application for a certificate#
AMC1 ADR.OR.B.015(b)(5) Application for a certificate#ERULES-1963177438-2628#Aerodromes;#6 March, 2014#ED Decision 2014/012/R#ED Decision 2014/012/R#
AMC1 ADR.OR.B.015(b)(5) Application for a certificate#ERULES-1963177438-2628#Aerodromes;#6 March, 2014#ED Decision 2014/012/R#ADEQUACY OF RESOURCES#
AMC1 ADR.OR.B.015(b)(5) Application for a certificate#ERULES-1963177438-2628#Aerodromes;#6 March, 2014#ED Decision 2014/012/R#(a)General#
AMC1 ADR.OR.B.015(b)(5) Application for a certificate#ERULES-1963177438-2628#Aerodromes;#6 March, 2014#ED Decision 2014/012/R#The applicant should provide all necessary information needed in order to demonstrate to the Competent Authority that its proposed organisation and management are suitable, and properly matched to the scale and scope of the operation.#
AMC1 ADR.OR.B.015(b)(5) Application for a certificate#ERULES-1963177438-2628#Aerodromes;#6 March, 2014#ED Decision 2014/012/R#The aerodrome operator should have the ability to discharge its responsibilities with regard to safety. The accountable manager should have access, as well as the authorisation, to the necessary resources to ensure that operations are carried out in accordance with the applicable requirements. The resources include, but are not limited to, personnel, tools and equipment, as well as financial resources.#
AMC1 ADR.OR.B.015(b)(5) Application for a certificate#ERULES-1963177438-2628#Aerodromes;#6 March, 2014#ED Decision 2014/012/R#(b)Arrangements with other parties#
AMC1 ADR.OR.B.015(b)(5) Application for a certificate#ERULES-1963177438-2628#Aerodromes;#6 March, 2014#ED Decision 2014/012/R#The applicant should indicate those services that are going to be provided directly by the applicant itself and those that will be provided by contracted third parties with regard to the adequacy of the resources.#
AMC1 ADR.OR.B.015(b)(5) Application for a certificate#ERULES-1963177438-2628#Aerodromes;#6 March, 2014#ED Decision 2014/012/R#The applicant should also provide evidence of arrangements if third parties are going to be involved in the provision of services. In addition, the applicant should provide any relevant information needed, or requested by the Competent Authority, regarding such third parties.#
GM1 ADR.OR.B.015(b)(5) Application for a certificate#ERULES-1963177438-2629#Aerodromes;#6 March, 2014#ED Decision 2014/012/R#GM1 ADR.OR.B.015(b)(5) Application for a certificate#
GM1 ADR.OR.B.015(b)(5) Application for a certificate#ERULES-1963177438-2629#Aerodromes;#6 March, 2014#ED Decision 2014/012/R#ED Decision 2014/012/R#
GM1 ADR.OR.B.015(b)(5) Application for a certificate#ERULES-1963177438-2629#Aerodromes;#6 March, 2014#ED Decision 2014/012/R#ADEQUACY OF RESOURCES#
GM1 ADR.OR.B.015(b)(5) Application for a certificate#ERULES-1963177438-2629#Aerodromes;#6 March, 2014#ED Decision 2014/012/R#(a)General#
GM1 ADR.OR.B.015(b)(5) Application for a certificate#ERULES-1963177438-2629#Aerodromes;#6 March, 2014#ED Decision 2014/012/R#In demonstrating to the Competent Authority the suitability of its organisation and management, the applicant should, amongst others, take into account in its analysis the following:#
GM1 ADR.OR.B.015(b)(5) Application for a certificate#ERULES-1963177438-2629#Aerodromes;#6 March, 2014#ED Decision 2014/012/R#(1)the size and complexity of the aerodrome;#
GM1 ADR.OR.B.015(b)(5) Application for a certificate#ERULES-1963177438-2629#Aerodromes;#6 March, 2014#ED Decision 2014/012/R#(2)the type of traffic;#
GM1 ADR.OR.B.015(b)(5) Application for a certificate#ERULES-1963177438-2629#Aerodromes;#6 March, 2014#ED Decision 2014/012/R#(3)the type of operations;#
GM1 ADR.OR.B.015(b)(5) Application for a certificate#ERULES-1963177438-2629#Aerodromes;#6 March, 2014#ED Decision 2014/012/R#(4)the level and the density of the traffic;#
GM1 ADR.OR.B.015(b)(5) Application for a certificate#ERULES-1963177438-2629#Aerodromes;#6 March, 2014#ED Decision 2014/012/R#(5)the operating hours of the aerodrome;#
GM1 ADR.OR.B.015(b)(5) Application for a certificate#ERULES-1963177438-2629#Aerodromes;#6 March, 2014#ED Decision 2014/012/R#(6)the amount of full-time equivalents (FTEs) necessary for each activity;#
GM1 ADR.OR.B.015(b)(5) Application for a certificate#ERULES-1963177438-2629#Aerodromes;#6 March, 2014#ED Decision 2014/012/R#(7)human factors principles;#
GM1 ADR.OR.B.015(b)(5) Application for a certificate#ERULES-1963177438-2629#Aerodromes;#6 March, 2014#ED Decision 2014/012/R#(8)labour legislation; and#
GM1 ADR.OR.B.015(b)(5) Application for a certificate#ERULES-1963177438-2629#Aerodromes;#6 March, 2014#ED Decision 2014/012/R#(9)the degree of subcontracting.#
GM1 ADR.OR.B.015(b)(5) Application for a certificate#ERULES-1963177438-2629#Aerodromes;#6 March, 2014#ED Decision 2014/012/R#(b)Adequacy of financial resources#
GM1 ADR.OR.B.015(b)(5) Application for a certificate#ERULES-1963177438-2629#Aerodromes;#6 March, 2014#ED Decision 2014/012/R#The financial resources required are linked to the overall objective for the safe operation and maintenance of the aerodrome, including the aerodrome operator’s capability to implement the corrective actions needed, in a timely manner. Information that may be provided to the Competent Authority includes audited accounts of the previous financial year, business plans etc.#
AMC1 ADR.OR.B.015(b)(6) Application for a certificate#ERULES-1963177438-2630#Aerodromes;#6 March, 2014#ED Decision 2014/012/R#AMC1 ADR.OR.B.015(b)(6) Application for a certificate#
AMC1 ADR.OR.B.015(b)(6) Application for a certificate#ERULES-1963177438-2630#Aerodromes;#6 March, 2014#ED Decision 2014/012/R#ED Decision 2014/012/R#
AMC1 ADR.OR.B.015(b)(6) Application for a certificate#ERULES-1963177438-2630#Aerodromes;#6 March, 2014#ED Decision 2014/012/R#RELATIONSHIP OF THE APPLICANT WITH THE AERODROME OWNER#
AMC1 ADR.OR.B.015(b)(6) Application for a certificate#ERULES-1963177438-2630#Aerodromes;#6 March, 2014#ED Decision 2014/012/R#The applicant should demonstrate to the Competent Authority, in accordance with the applicable national legislation that he/she is duly authorised to undertake all activities necessary under the provisions of the Basic Regulation, and its Implementing Rules, and any other applicable national or European Union rule.#
AMC1 ADR.OR.B.015(b)(6) Application for a certificate#ERULES-1963177438-2630#Aerodromes;#6 March, 2014#ED Decision 2014/012/R#The applicant should also provide the Competent Authority with all information necessary, under the applicable national legislation, to demonstrate to the Competent Authority its relationship with the aerodrome owner, and/or the owner of the land to be used for the aerodrome development.#
AMC1 ADR.OR.B.015(b)(6) Application for a certificate#ERULES-1963177438-2630#Aerodromes;#6 March, 2014#ED Decision 2014/012/R#Such documentation should include, but is not limited to, contracts, lease agreements, authorisations between the persons involved, etc.#
AMC1 ADR.OR.B.015(b)(7) Application for a certificate#ERULES-1963177438-2631#Aerodromes;#6 March, 2014#ED Decision 2014/012/R#AMC1 ADR.OR.B.015(b)(7) Application for a certificate#
AMC1 ADR.OR.B.015(b)(7) Application for a certificate#ERULES-1963177438-2631#Aerodromes;#6 March, 2014#ED Decision 2014/012/R#ED Decision 2014/012/R#
AMC1 ADR.OR.B.015(b)(7) Application for a certificate#ERULES-1963177438-2631#Aerodromes;#6 March, 2014#ED Decision 2014/012/R#INFORMATION TO BE PROVIDED FOR MANAGEMENT PERSONNEL#
AMC1 ADR.OR.B.015(b)(7) Application for a certificate#ERULES-1963177438-2631#Aerodromes;#6 March, 2014#ED Decision 2014/012/R#The applicant should provide information regarding the qualifications, and experience of the accountable manager, and the other nominated persons required.#
AMC1 ADR.OR.B.015(b)(9) Application for a certificate#ERULES-1963177438-2632#Aerodromes;#6 March, 2014#ED Decision 2014/012/R#AMC1 ADR.OR.B.015(b)(9) Application for a certificate#
AMC1 ADR.OR.B.015(b)(9) Application for a certificate#ERULES-1963177438-2632#Aerodromes;#6 March, 2014#ED Decision 2014/012/R#ED Decision 2014/012/R#
AMC1 ADR.OR.B.015(b)(9) Application for a certificate#ERULES-1963177438-2632#Aerodromes;#6 March, 2014#ED Decision 2014/012/R#AERODROME MANUAL#
